formOfNode,longitude,latitude
source,-3.287,52.609
junction,-3.287,52.644
source,-3.287,52.641
junction,-3.283,52.615
junction,-3.226,52.557
source,-3.231,52.557
source,-3.136,52.559
source,-3.237,52.562
source,-3.227,52.563
source,-3.224,52.564
junction,-3.218,52.565
source,-3.252,52.571
source,-3.150,52.574
source,-3.225,52.578
junction,-3.239,52.578
junction,-3.223,52.581
junction,-3.231,52.581
source,-3.191,52.583
junction,-3.154,52.583
junction,-3.155,52.584
source,-3.231,52.584
junction,-3.179,52.586
junction,-3.179,52.586
junction,-3.181,52.589
outlet,-3.195,52.589
source,-3.212,52.590
source,-2.996,52.550
junction,-2.994,52.553
source,-3.027,52.553
junction,-2.999,52.556
source,-3.002,52.558
junction,-3.133,52.525
junction,-3.122,52.588
source,-3.119,52.543
junction,-3.117,52.529
junction,-3.081,52.539
junction,-3.078,52.539
junction,-3.073,52.536
junction,-3.068,52.533
junction,-3.066,52.532
source,-3.066,52.533
source,-3.055,52.559
junction,-3.045,52.526
source,-3.044,52.544
source,-3.043,52.530
junction,-3.138,52.523
junction,-3.275,52.522
source,-3.183,52.524
source,-3.316,52.523
junction,-3.138,52.525
source,-3.237,52.527
