decade,cName,hex,hue,sat,lum,hueX,hueY,perc
2010s,Dark Bluish Gray,#646464,0,0.00,0.39,0.00,1.00,11.32
2010s,White,#f4f4f4,0,0.00,0.96,0.00,1.00,10.13
2010s,Red,#b40000,0,1.00,0.35,0.00,1.00,5.94
2010s,Blue,#1e5aa8,214,0.70,0.39,-0.56,-0.83,4.51
2010s,Reddish Brown,#5f3109,28,0.83,0.20,0.47,0.88,4.22
2010s,Tan,#b0a06f,45,0.29,0.56,0.71,0.71,4.11
2010s,Yellow,#fac80a,48,0.96,0.51,0.74,0.67,3.92
2010s,Green,#00852b,139,1.00,0.26,0.66,-0.75,1.84
2010s,Dark Tan,#897d62,42,0.17,0.46,0.67,0.74,1.5033
2010s,Dark Red,#720012,351,1.00,0.22,-0.16,0.99,1.332
2010s,Lime,#a5ca18,72,0.79,0.44,0.95,0.31,1.2525
2010s,Orange,#ff8500,31,1.00,0.50,0.52,0.86,1.2523
2010s,Trans-Clear,#eeeeee,0,0.00,0.93,0.00,1.00,1.1761
2010s,Pearl Gold,#aa7f2e,39,0.57,0.42,0.63,0.78,1.0539
2010s,Trans-Light Blue,#addded,195,0.64,0.80,-0.26,-0.97,0.97
2010s,Dark Blue,#19325a,217,0.57,0.23,-0.60,-0.80,0.9055
2010s,Flat Silver,#8c8c8c,0,0.00,0.55,0.00,1.00,0.7838
2010s,Trans-Red,#B82700,13,1.00,0.36,0.22,0.97,0.7249
2010s,Dark Brown,#372100,36,1.00,0.11,0.59,0.81,0.6213
2010s,Medium Blue,#7396c8,215,0.44,0.62,-0.57,-0.82,0.6041
2010s,Dark Green,#00451a,143,1.00,0.14,0.60,-0.80,0.5695
2010s,Trans-Orange,#e18d0a,37,0.91,0.46,0.60,0.80,0.5441
2010s,Bright Light Orange,#fcac00,41,1.00,0.49,0.66,0.75,0.4741
2010s,Dark Purple,#441a91,261,0.70,0.34,-0.99,-0.16,0.4045
2010s,Trans-Yellow,#faf15d,57,0.94,0.67,0.84,0.54,0.3986
2010s,Dark Orange,#91501c,27,0.68,0.34,0.45,0.89,0.3674
2010s,Medium Azure,#68c3e2,195,0.68,0.65,-0.26,-0.97,0.3562
2010s,Trans-Black,#8f8c80,48,0.06,0.53,0.74,0.67,0.3533
2010s,Bright Pink,#ff9ecd,331,1.00,0.81,-0.48,0.87,0.3495
2010s,Trans-Dark Blue,#042fca,227,0.96,0.40,-0.73,-0.68,0.3472
2010s,Bright Green,#58ab41,107,0.45,0.46,0.96,-0.29,0.3336
2010s,Medium Dark Flesh,#aa7d55,28,0.33,0.50,0.47,0.88,0.3252
2010s,Magenta,#901f76,314,0.65,0.34,-0.72,0.69,0.2923
2010s,Dark Pink,#d05098,326,0.58,0.56,-0.56,0.83,0.2879
2010s,Sand Green,#708e7c,144,0.12,0.50,0.59,-0.81,0.2485
2010s,Olive Green,#77774e,60,0.21,0.39,0.87,0.50,0.2446
2010s,Pearl Dark Gray,#484d48,120,0.03,0.29,0.87,-0.50,0.2169
2010s,Trans-Neon Orange,#fb7248,14,0.96,0.63,0.24,0.97,0.2137
2010s,Medium Lavender,#a06eb9,280,0.35,0.58,-0.98,0.17,0.2076
2010s,Trans-Neon Green,#faf15b,57,0.94,0.67,0.84,0.54,0.1818
2010s,Light Flesh,#ffc995,29,1.00,0.79,0.48,0.87,0.176
2010s,Trans-Green,#73b464,109,0.35,0.55,0.95,-0.33,0.1643
2010s,Metallic Silver,#cecece,0,0.00,0.81,0.00,1.00,0.1194
2010s,Trans-Bright Green,#c9e788,79,0.66,0.72,0.98,0.19,0.1133
2010s,Sand Blue,#70819a,216,0.17,0.52,-0.59,-0.81,0.1128
2010s,Dark Azure,#469bc3,199,0.51,0.52,-0.33,-0.95,0.1054
2010s,Trans-Dark Pink,#f18ebb,333,0.78,0.75,-0.45,0.89,0.0905
2010s,Lavender,#cda4de,282,0.47,0.76,-0.98,0.21,0.0801
2010s,Royal Blue,#1c58a7,214,0.71,0.38,-0.56,-0.83,0.0712
2010s,Trans-Purple,#9c95c7,248,0.31,0.68,-0.93,-0.37,0.068
2010s,Chrome Gold,#dfc176,43,0.62,0.67,0.68,0.73,0.0601
2010s,Light Aqua,#d3f2ea,165,0.54,0.89,0.26,-0.97,0.0584
2010s,Maersk Blue,#abd9ff,207,1.00,0.84,-0.45,-0.89,0.0564
2010s,Bright Light Yellow,#ffec6c,52,1.00,0.71,0.79,0.62,0.0552
2010s,Bright Light Blue,#9dc3f7,215,0.85,0.79,-0.57,-0.82,0.053
2010s,Yellowish Green,#e2f99a,75,0.89,0.79,0.97,0.26,0.0523
2010s,Pearl Light Gray,#adadad,0,0.00,0.68,0.00,1.00,0.0464
2010s,Trans-Medium Blue,#00aefd,199,1.00,0.50,-0.33,-0.95,0.0432
2010s,Glow in Dark White,#f5f3d7,56,0.60,0.90,0.83,0.56,0.0244
2010s,Metallic Gold,#dfc176,43,0.62,0.67,0.68,0.73,0.0206
2010s,Chrome Silver,#cecece,0,0.00,0.81,0.00,1.00,0.0162
2010s,Flesh,#bb805a,24,0.42,0.54,0.41,0.91,0.008
2010s,Brown,#6e3903,30,0.95,0.22,0.50,0.87,0.0075
2010s,Dark Flesh,#7b5d41,29,0.31,0.37,0.48,0.87,0.007
2010s,Glitter Trans-Dark Pink,#cd9ab1,333,0.34,0.70,-0.45,0.89,0.0044
2010s,Speckle Black-Silver,#36353b,250,0.05,0.22,-0.94,-0.34,0.004
2010s,Glow In Dark Trans,#d5dc8a,65,0.54,0.70,0.91,0.42,0.0037
2010s,Light Gray,#8a928d,143,0.04,0.56,0.60,-0.80,0.0034
2010s,Glitter Trans-Purple,#9d95e2,246,0.57,0.74,-0.91,-0.41,0.003
2010s,Very Light Bluish Gray,#c8c8c8,0,0.00,0.78,0.00,1.00,0.0014
2010s,Glitter Trans-Light Blue,#b8dde6,192,0.48,0.81,-0.21,-0.98,0.0011
2010s,Aqua,#2efafd,181,0.98,0.59,-0.02,-1.00,0.001
2010s,Glitter Trans-Neon Green,#d6db4a,62,0.67,0.57,0.88,0.47,0.0009
2010s,Light Lime,#deea92,68,0.68,0.75,0.93,0.37,0.0007
2010s,Speckle Black-Gold,#b8a05d,44,0.39,0.54,0.69,0.72,0.0007
2010s,Dark Gray,#545955,132,0.03,0.34,0.74,-0.67,0.0006
2010s,Copper,#764d3b,18,0.33,0.35,0.31,0.95,0.0006
2010s,Light Green,#add9a8,114,0.39,0.75,0.91,-0.41,0.0004
2010s,Glow In Dark Opaque,#e5dfd3,40,0.26,0.86,0.64,0.77,0.0004
2010s,Light Yellow,#ffd67f,41,1.00,0.75,0.66,0.75,0.0004
2010s,Glitter Trans-Clear,#f5f7f4,100,0.16,0.96,0.98,-0.17,0.0004
2010s,Light Purple,#8a12a8,288,0.81,0.36,-0.95,0.31,0.0003
2010s,Purple,#7454b8,259,0.41,0.53,-0.98,-0.19,0.0003
2010s,Earth Orange,#d86d2c,23,0.69,0.51,0.39,0.92,0.0001
2010s,Milky White,#e9e9e9,0,0.00,0.91,0.00,1.00,0.0001
2010s,Dark Turquoise,#069d9f,181,0.93,0.32,-0.02,-1.00,0.0001
2010s,Light Blue,#97cbd9,193,0.46,0.72,-0.22,-0.97,0.0001
